#time   volume  pressao temperatura
6263	146	172	310
6194	146	170	310
6228	146	171	310
6159	148	170	309
6125	148	169	309
6090	149	167	308
6055	150	166	309
6021	151	166	309
5986	152	165	308
5882	152	164	308
5917	152	164	308
5848	153	165	308
5952	153	164	308
5813	153	162	308
5779	154	160	307
5744	155	161	307
5709	155	159	307
5675	156	160	307
5640	156	159	307
5606	157	157	306
5571	158	157	307
5502	159	155	306
5536	159	157	306
5467	160	156	306
5294	161	152	306
5433	161	153	305
5329	161	153	305
5260	161	155	306
5398	161	153	305
5225	161	153	306
5363	161	153	306
5190	162	154	306
5156	162	153	306
5121	163	153	306
5087	163	152	306
5052	163	153	306
5017	164	151	306
4983	164	151	306
4948	164	152	306
4913	165	151	306
4879	165	151	306
4740	166	149	306
4844	166	151	306
4706	166	148	306
4775	166	148	306
4671	166	150	307
4637	166	149	307
4810	167	148	306
4567	167	148	307
4602	168	148	306
4533	168	147	306
4498	169	146	306
4464	170	147	306
4360	170	145	305
4429	170	145	306
4291	171	144	306
4325	171	144	306
4394	171	144	306
4256	171	146	307
4221	171	144	306
4118	172	144	307
4152	172	143	307
4187	172	144	307
4083	173	145	306
4048	173	145	307
4014	173	143	307
3979	174	143	307
3945	174	143	307
3875	175	142	307
3910	175	138	307
3841	176	140	305
3806	176	141	307
3772	176	141	307
3737	177	140	307
3702	177	140	307
3668	178	140	307
3633	178	138	305
3599	179	137	306
3564	179	138	306
3529	180	138	306
3495	181	138	306
3460	181	136	306
3391	182	136	306
3426	182	137	306
3356	183	136	306
3322	184	135	305
3183	184	134	306
3253	185	134	305
3287	185	135	305
3218	185	134	305
3149	185	135	306
3114	186	134	306
3080	186	129	306
3045	186	134	306
3010	186	135	306
2941	187	132	306
2976	187	134	306
2907	187	133	307
2872	188	133	307
2803	188	132	307
2837	188	132	307
2768	188	131	307
2734	189	132	307
2699	190	131	307
2630	190	130	307
2664	190	131	307
2595	191	131	307
2561	191	130	307
2526	192	130	307
2491	192	129	307
2457	192	129	307
2388	193	129	307
2422	193	129	307
2353	193	128	307
2318	194	125	307
2284	195	128	307
2249	196	127	307
2215	197	125	306
2180	198	126	307
2145	198	125	306
2111	198	125	307
2076	199	123	307
2007	199	123	307
2042	199	124	306
1972	200	124	307
1938	200	123	307
1903	200	123	305
1869	201	123	307
1834	201	123	307
1799	202	122	307
1765	202	123	307
1730	203	121	307
1696	203	121	307
1661	204	122	307
1626	204	123	307
1592	205	121	307
1557	206	120	307
1522	207	118	306
1488	207	119	307
1419	208	118	307
1453	208	119	307
1349	209	117	306
1384	210	119	307
1315	211	116	307
1280	212	117	307
1246	212	116	306
1176	213	115	306
1211	213	115	303
1142	215	115	305
1107	216	114	305
1003	216	113	305
1073	216	114	304
1038	217	112	305
865	217	113	305
900	217	112	305
934	217	112	305
969	217	113	305
830	217	112	305
796	218	113	306
761	218	112	305
727	219	112	305
692	219	112	305
657	220	112	305
588	221	111	305
623	221	111	304
554	221	111	304
519	222	108	302
484	223	110	304
450	224	110	304
415	225	108	304
381	225	108	303
346	226	107	303
311	227	108	302
277	228	106	302
242	228	106	302
208	229	105	301
138	230	104	301
173	230	106	302
104	231	106	302
69	231	105	300
35	232	104	301
0	232	104	300

