0.029	0.0024369748	0.0001045124	0.019	0.0023170732	0.0001502082	0.008	0.0010126582	0.0001394007	0.012	0.0017391304	0.0001701323
0.236	0.0023959391	2.4324254683192E-006	0.116	0.0021129326	3.84869326909997E-006	0.1	0.0010493179	1.10106814620864E-006	0.176	0.0017777778	1.18967452300786E-005
0.474	0.0023570363	1.17207175551869E-006	0.228	0.0022374877	2.19576813844125E-005	0.205	0.0010421962	5.29840486998361E-007	0.339	0.0017510331	6.06974848029506E-006
0.69	0.0023154362	0.000000777	0.426	0.002211838	1.14841017976663E-005	0.314	0.0010373307	3.42692662851864E-007	0.518	0.001728972	3.91487715708172E-006
0.877	0.0022603093	5.82553937719205E-006	0.752	0.0021485714	6.13877551020408E-006	0.416	0.0010271605	2.53619875019052E-006	0.761	0.0016836283	5.93723079332759E-006
1.09	0.0021975806	4.43060613943809E-006	1.031	0.0020661323	4.14054562029871E-006	0.51	0.0010179641	2.03186441488281E-006	0.98	0.0016360601	4.40076811380124E-006	red
1.286	0.0021256198	3.51342121439792E-006	1.279	0.0019676923	3.02721893491124E-006	0.606	0.0010083195	1.67773621889197E-006	1.182	0.001576	3.43466666666667E-006
1.434	0.0020485714	2.9265306122449E-006	1.478	0.0018567839	2.33264311507285E-006	0.689	0.0009985507	1.44717496324302E-006	1.357	0.0015094549	2.79138481640087E-006
1.566	0.0019575	2.446875E-006	1.53	0.0018085106	2.13771943061214E-006	0.791	0.000985056	1.2267198503743E-006	1.555	0.0013958707	2.15069186363211E-006
1.681	0.0018595133	0.000002057	1.585	0.0017650334	1.96551604406724E-006	0.881	0.0009724062	1.07329600553582E-006	1.624	0.0013477178	1.94831356209432E-006
1.731	0.0018336864	1.94246444987073E-006	1.594	0.0017574421	1.93764290724234E-006	0.982	0.0009552529	9.29234356311224E-007	1.681	0.0012960678	1.77029132527528E-006
1.75	0.0018153527	1.88314595134381E-006	1.616	0.0017395048	1.87244870174186E-006	1.042	0.0009404332	8.48766437722374E-007	1.745	0.0012428775	1.59749109179309E-006
1.776	0.001776	0.000001776	1.644	0.0017232704	1.80636314491779E-006	1.116	0.0009246065	0.000000766	1.837	0.0011424129	1.33234635281305E-006
1.815	0.0017368421	0.000001662	1.685	0.0016749503	0.000001665	1.191	0.0009084668	0.000000693	1.904	0.0010577778	1.14320987654321E-006
1.843	0.0016785064	1.52869433080846E-006	1.778	0.0015832591	1.40984784268699E-006	1.248	0.0008933429	6.39472353324872E-007	1.963	0.0009732276	9.78298247740021E-007
1.915	0.001580033	1.30365759348212E-006	1.857	0.0014856	1.18848E-006	1.314	0.0008748336	5.82445775805362E-007	2.004	0.0009039242	8.58784042364238E-007
1.964	0.0014980931	1.14271018972829E-006	1.909	0.0014098966	1.04128257212614E-006	1.365	0.0008574121	5.38575414762254E-007	2.039	0.000843957	7.63227215911583E-007
2.001	0.0014354376	1.02972567408179E-006	1.968	0.001316388	8.80527063455666E-007	1.421	0.0008368669	4.92854477171924E-007	2.064	0.000793236	6.89176007812828E-007
2.042	0.0013523179	8.9557475549318E-007	2.007	0.0012434944	7.70442641754536E-007	1.469	0.0008174736	4.54910165306736E-007	2.085	0.0007438459	6.22135526013169E-007
2.073	0.0012820037	7.92828516125627E-007	2.063	0.0011297919	6.18725024563054E-007	1.513	0.0007958969	4.18672749274241E-007	2.105	0.0006949488	5.59573729942568E-007
2.097	0.0012335294	7.2560553633218E-007	2.097	0.0010458853	5.21638547023961E-007	1.551	0.0007751124	3.87362540618746E-007	2.29	0	0
2.117	0.0011793872	0.000000657	2.125	0.000966788	4.39848948626471E-007	1.616	0.0007368901	0.000000336			
2.137	0.0011182627	5.85171475505631E-007	2.15	0.0008947149	3.72332475929571E-007	1.673	0.0006970833	2.90451388888889E-007			
2.151	0.0010717489	0.000000534	2.166	0.0008346821	3.21650127524029E-007	1.723	0.0006596478	2.52545091684275E-007			
2.174	0.0009854941	4.46733502711224E-007	2.182	0.0007762362	2.76142374553594E-007	1.761	0.0006278075	2.23817285786458E-007			
2.192	0.0009110557	3.78659889483827E-007	2.192	0.0007306667	2.43555555555556E-007	1.798	0.0005959562	1.97532730503283E-007			
2.206	0.0008432722	3.22351747421186E-007	2.327	0	0	2.136	0	0			
2.217	0.0007881266	2.80172966682923E-007									
2.227	0.0007418388	2.47114848151421E-007									
2.345	0	0									

